gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
4,194611020PRO,NBA,1,1947,11/2/1946,1,0,BOS,Celtics,53,1300.0,1294.8458,40.459381,PRO,Steamrollers,59,1300.0,1305.1542,A,L,0.35993499,
8,194611050BOS,NBA,0,1947,11/5/1946,2,0,BOS,Celtics,55,1294.8458,1288.4139,39.78503,CHS,Stags,57,1309.6521,1316.084,H,L,0.62020409,
10,194611070GSW,NBA,0,1947,11/7/1946,1,0,PHW,Warriors,81,1300.0,1304.667,41.489525,PIT,Ironmen,75,1277.9456,1273.2786,H,W,0.66876441,
15,194611090DTF,NBA,1,1947,11/9/1946,3,0,BOS,Celtics,46,1288.4139,1275.2767,38.410091,DTF,Falcons,69,1268.4468,1281.584,A,L,0.38681835,
21,194611130CHS,NBA,1,1947,11/13/1946,4,0,BOS,Celtics,61,1275.2767,1269.8861,37.847424,CHS,Stags,71,1329.3558,1334.7465,A,L,0.29173952,
23,194611140GSW,NBA,0,1947,11/14/1946,2,0,PHW,Warriors,68,1304.667,1308.6625,41.908504,WSC,Capitols,65,1320.6311,1316.6356,H,W,0.61863285,
24,194611140STB,NBA,1,1947,11/14/1946,5,0,BOS,Celtics,62,1269.8861,1267.1501,37.562286,STB,Bombers,64,1305.7323,1308.4683,A,L,0.3138904,
26,194611160BOS,NBA,0,1947,11/16/1946,6,0,BOS,Celtics,53,1267.1501,1271.9004,38.057545,TRH,Huskies,49,1294.7554,1290.0051,H,W,0.60270238,
34,194611190GSW,NBA,0,1947,11/19/1946,3,0,PHW,Warriors,63,1308.6625,1301.0356,41.108635,STB,Bombers,66,1315.3256,1322.9524,H,L,0.6311819,
39,194611210BOS,NBA,0,1947,11/21/1946,7,0,BOS,Celtics,53,1271.9004,1257.9297,36.603973,STB,Bombers,65,1319.3402,1333.3109,H,L,0.57506841,
40,194611210GSW,NBA,0,1947,11/21/1946,4,0,PHW,Warriors,63,1301.0356,1294.7595,40.450329,CHS,Stags,65,1323.818,1330.0941,H,L,0.60933089,
42,194611220TRH,NBA,1,1947,11/22/1946,8,0,BOS,Celtics,82,1257.9297,1255.4705,36.349152,TRH,Huskies,83,1278.2225,1280.6818,A,L,0.33348578,
43,194611230DTF,NBA,1,1947,11/23/1946,9,0,BOS,Celtics,46,1255.4705,1250.1028,35.794254,DTF,Falcons,54,1282.0223,1287.39,A,L,0.32552594,
49,194611250BOS,NBA,0,1947,11/25/1946,10,0,BOS,Celtics,59,1250.1028,1234.6626,34.20953,PRO,Steamrollers,71,1265.9526,1281.3928,H,L,0.618788,
52,194611260GSW,NBA,0,1947,11/26/1946,5,0,PHW,Warriors,66,1294.7595,1300.6316,41.06625,BOS,Celtics,54,1234.6626,1228.7905,H,W,0.71536636,
52,194611260GSW,NBA,1,1947,11/26/1946,11,0,BOS,Celtics,54,1234.6626,1228.7905,33.612003,PHW,Warriors,66,1294.7595,1300.6316,A,L,0.28463364,
57,194611280BOS,NBA,0,1947,11/28/1946,12,0,BOS,Celtics,59,1228.7905,1233.7903,34.120571,PIT,Ironmen,55,1268.6437,1263.6439,H,W,0.58570379,
59,194611280GSW,NBA,0,1947,11/28/1946,6,0,PHW,Warriors,55,1300.6316,1284.4366,39.368336,DTF,Falcons,68,1317.7588,1333.9537,H,L,0.61705202,
62,194611300NYK,NBA,1,1947,11/30/1946,7,0,PHW,Warriors,60,1284.4366,1281.1688,39.026222,NYK,Knicks,64,1339.6215,1342.8893,A,L,0.29042608,
66,194612010CHS,NBA,1,1947,12/1/1946,13,0,BOS,Celtics,56,1233.7903,1228.6831,33.601101,CHS,Stags,66,1299.0626,1304.1698,A,L,0.27860653,
68,194612020PIT,NBA,1,1947,12/2/1946,14,0,BOS,Celtics,46,1228.6831,1236.0254,34.348637,PIT,Ironmen,44,1259.7294,1252.3871,A,W,0.31987137,
69,194612030GSW,NBA,0,1947,12/3/1946,8,0,PHW,Warriors,76,1281.1688,1287.2725,39.665409,PRO,Steamrollers,68,1283.1002,1276.9966,H,W,0.63749963,
73,194612050BOS,NBA,0,1947,12/5/1946,15,0,BOS,Celtics,61,1236.0254,1229.3071,33.664444,DTF,Falcons,65,1319.3087,1326.027,H,L,0.52403867,
75,194612050GSW,NBA,0,1947,12/5/1946,9,0,PHW,Warriors,62,1287.2725,1296.8409,40.668636,NYK,Knicks,51,1350.4919,1340.9235,H,W,0.55273455,
77,194612070BOS,NBA,0,1947,12/7/1946,16,0,BOS,Celtics,65,1229.3071,1210.9467,31.817047,NYK,Knicks,90,1340.9235,1359.2839,H,L,0.48328897,
80,194612070STB,NBA,1,1947,12/7/1946,10,0,PHW,Warriors,57,1296.8409,1313.6263,42.428764,STB,Bombers,47,1351.3506,1334.5652,A,W,0.2912277,
82,194612080CLR,NBA,1,1947,12/8/1946,11,0,PHW,Warriors,66,1313.6263,1308.3997,41.880951,CLR,Rebels,72,1310.4608,1315.6875,A,L,0.36414367,
83,194612080NYK,NBA,1,1947,12/8/1946,17,0,BOS,Celtics,44,1210.9467,1206.0377,31.329351,NYK,Knicks,62,1359.2839,1364.1929,A,L,0.19316971,
86,194612100TRH,NBA,1,1947,12/10/1946,12,0,PHW,Warriors,85,1308.3997,1322.4008,43.347172,TRH,Huskies,73,1261.624,1247.6229,A,W,0.42399758,
90,194612120BOS,NBA,0,1947,12/12/1946,18,0,BOS,Celtics,73,1206.0377,1214.9801,32.21983,DTF,Falcons,66,1322.9327,1313.9904,H,W,0.47570527,
91,194612120GSW,NBA,0,1947,12/12/1946,13,0,PHW,Warriors,49,1322.4008,1307.4219,41.778427,WSC,Capitols,64,1392.4739,1407.4528,H,L,0.54296201,
94,194612140BOS,NBA,0,1947,12/14/1946,19,0,BOS,Celtics,77,1214.9801,1226.2948,33.359005,PHW,Warriors,65,1307.4219,1296.1072,H,W,0.51087546,
94,194612140BOS,NBA,1,1947,12/14/1946,14,0,PHW,Warriors,65,1307.4219,1296.1072,40.591675,BOS,Celtics,77,1214.9801,1226.2948,A,L,0.48912454,
102,194612170GSW,NBA,0,1947,12/17/1946,15,0,PHW,Warriors,57,1296.1072,1302.3259,41.243977,DTF,Falcons,49,1302.2896,1296.0708,H,W,0.6318258,
105,194612190BOS,NBA,0,1947,12/19/1946,20,0,BOS,Celtics,74,1226.2948,1221.1678,32.841187,STB,Bombers,76,1309.9017,1315.0287,H,L,0.52357405,
106,194612190GSW,NBA,0,1947,12/19/1946,16,0,PHW,Warriors,58,1302.3259,1311.8464,42.242256,CLR,Rebels,44,1326.4893,1316.9688,H,W,0.6074369,
110,194612210WSC,NBA,1,1947,12/21/1946,17,0,PHW,Warriors,56,1311.8464,1307.2515,41.760559,WSC,Capitols,68,1421.2426,1425.8375,A,L,0.23051935,
113,194612220STB,NBA,1,1947,12/22/1946,21,0,BOS,Celtics,53,1221.1678,1216.1962,32.341621,STB,Bombers,65,1315.0287,1320.0004,A,L,0.24676281,
114,194612230PIT,NBA,1,1947,12/23/1946,22,0,BOS,Celtics,54,1216.1962,1209.8594,31.708786,PIT,Ironmen,64,1235.696,1242.0328,A,L,0.33450115,
115,194612260GSW,NBA,0,1947,12/26/1946,18,0,PHW,Warriors,53,1307.2515,1311.3928,42.194717,PIT,Ironmen,46,1242.0328,1237.8915,H,W,0.7213313,
118,194612270BOS,NBA,0,1947,12/27/1946,23,0,BOS,Celtics,60,1209.8594,1204.3003,31.157423,PHW,Warriors,63,1311.3928,1316.9519,H,L,0.4977932,
118,194612270BOS,NBA,1,1947,12/27/1946,19,0,PHW,Warriors,63,1311.3928,1316.9519,42.777065,BOS,Celtics,60,1209.8594,1204.3003,A,W,0.5022068,
120,194612280PRO,NBA,1,1947,12/28/1946,24,0,BOS,Celtics,68,1204.3003,1198.3969,30.576017,PRO,Steamrollers,80,1263.2903,1269.1937,A,L,0.28593284,
124,194612290STB,NBA,1,1947,12/29/1946,20,0,PHW,Warriors,68,1316.9519,1311.511,42.207104,STB,Bombers,75,1323.7323,1329.1732,A,L,0.35099298,
125,194612300BOS,NBA,0,1947,12/30/1946,25,0,BOS,Celtics,60,1198.3969,1192.7406,30.023127,WSC,Capitols,70,1442.3615,1448.0177,H,L,0.30391434,
126,194612300PIT,NBA,1,1947,12/30/1946,21,0,PHW,Warriors,62,1311.511,1316.821,42.763363,PIT,Ironmen,60,1237.8915,1232.5814,A,W,0.46210819,
132,194701020GSW,NBA,0,1947,1/2/1947,22,0,PHW,Warriors,84,1316.821,1323.0543,43.415497,PRO,Steamrollers,72,1269.1937,1262.9604,H,W,0.70052755,
134,194701030TRH,NBA,1,1947,1/3/1947,26,0,BOS,Celtics,58,1192.7406,1204.3622,31.163542,TRH,Huskies,53,1255.3428,1243.7212,A,W,0.28170633,
136,194701040PRO,NBA,1,1947,1/4/1947,23,0,PHW,Warriors,74,1323.0543,1317.6265,42.847687,PRO,Steamrollers,78,1262.9604,1268.3883,A,L,0.44282168,
139,194701060BOS,NBA,0,1947,1/6/1947,27,0,BOS,Celtics,53,1204.3622,1192.8752,30.03624,CLR,Rebels,64,1292.7268,1304.2137,H,L,0.51673841,
144,194701080PIT,NBA,1,1947,1/8/1947,24,0,PHW,Warriors,63,1317.6265,1311.1245,42.166595,PIT,Ironmen,67,1210.0378,1216.5398,A,L,0.51091921,
146,194701090GSW,NBA,0,1947,1/9/1947,25,0,PHW,Warriors,74,1311.1245,1320.103,43.106861,TRH,Huskies,55,1275.9305,1266.952,H,W,0.68530047,
149,194701100BOS,NBA,0,1947,1/10/1947,28,0,BOS,Celtics,66,1192.8752,1200.0544,30.738827,NYK,Knicks,62,1328.6687,1321.4895,H,W,0.44867054,
150,194701110DTF,NBA,1,1947,1/11/1947,26,0,PHW,Warriors,56,1320.103,1315.9115,42.668125,DTF,Falcons,58,1257.3132,1261.5048,A,L,0.44665402,
151,194701110PRO,NBA,1,1947,1/11/1947,29,0,BOS,Celtics,73,1200.0544,1207.0247,31.427176,PRO,Steamrollers,72,1280.0374,1273.0671,A,W,0.26190996,
153,194701120CHS,NBA,1,1947,1/12/1947,27,0,PHW,Warriors,72,1315.9115,1312.5405,42.314995,CHS,Stags,75,1338.1714,1341.5424,A,L,0.33097368,
157,194701140TRH,NBA,1,1947,1/14/1947,28,0,PHW,Warriors,104,1312.5405,1338.6333,45.039314,TRH,Huskies,74,1263.2552,1237.1625,A,W,0.42752963,
161,194701160BOS,NBA,0,1947,1/16/1947,30,0,BOS,Celtics,47,1207.0247,1222.4307,32.968487,WSC,Capitols,38,1453.2283,1437.8223,H,W,0.30119461,
162,194701160GSW,NBA,0,1947,1/16/1947,29,0,PHW,Warriors,78,1338.6333,1327.6796,43.898621,CHS,Stags,84,1332.5114,1343.4651,H,L,0.64814311,
165,194701180NYK,NBA,1,1947,1/18/1947,31,0,BOS,Celtics,58,1222.4307,1244.5959,35.226974,NYK,Knicks,45,1322.4481,1300.2828,A,W,0.24023473,
169,194701200BOS,NBA,0,1947,1/20/1947,32,0,BOS,Celtics,54,1244.5959,1223.8215,33.108879,CHS,Stags,81,1337.7271,1358.5015,H,L,0.50988382,
171,194701210GSW,NBA,1,1947,1/21/1947,33,0,BOS,Celtics,43,1223.8215,1218.111,32.533714,PHW,Warriors,59,1327.6796,1333.3901,A,L,0.23622274,
171,194701210GSW,NBA,0,1947,1/21/1947,30,0,PHW,Warriors,59,1327.6796,1333.3901,44.49398,BOS,Celtics,43,1223.8215,1218.111,H,W,0.76377726,
175,194701220WSC,NBA,1,1947,1/22/1947,31,0,PHW,Warriors,55,1333.3901,1331.4896,44.295994,WSC,Capitols,57,1443.5603,1445.4608,A,L,0.22972995,
176,194701230BOS,NBA,0,1947,1/23/1947,34,0,BOS,Celtics,48,1218.111,1222.9237,33.01823,PIT,Ironmen,43,1223.941,1219.1283,H,W,0.63229746,
178,194701230GSW,NBA,0,1947,1/23/1947,32,0,PHW,Warriors,83,1331.4896,1335.8369,44.748634,CLR,Rebels,78,1314.5339,1310.1866,H,W,0.66223073,
180,194701250DTF,NBA,1,1947,1/25/1947,33,0,PHW,Warriors,61,1335.8369,1344.2861,45.625641,DTF,Falcons,55,1260.5615,1252.1123,A,W,0.46447837,
181,194701250NYK,NBA,1,1947,1/25/1947,35,0,BOS,Celtics,52,1222.9237,1236.2783,34.374474,NYK,Knicks,46,1303.5112,1290.1566,A,W,0.26123774,
183,194701260CHS,NBA,1,1947,1/26/1947,34,0,PHW,Warriors,57,1344.2861,1339.418,45.120808,CHS,Stags,63,1357.0613,1361.9294,A,L,0.34317303,
185,194701270BOS,NBA,0,1947,1/27/1947,36,0,BOS,Celtics,57,1236.2783,1224.8512,33.21294,WSC,Capitols,80,1448.0367,1459.4639,H,L,0.34449345,
191,194701290WSC,NBA,1,1947,1/29/1947,37,0,BOS,Celtics,57,1224.8512,1222.5165,32.977142,WSC,Capitols,69,1459.4639,1461.7986,A,L,0.12717342,
192,194701300BOS,NBA,0,1947,1/30/1947,38,0,BOS,Celtics,66,1222.5165,1231.4259,33.879787,PIT,Ironmen,51,1220.8876,1211.9781,H,W,0.6422224,
193,194701300GSW,NBA,0,1947,1/30/1947,35,0,PHW,Warriors,65,1339.418,1343.9559,45.591442,NYK,Knicks,58,1293.2555,1288.7175,H,W,0.69875556,
196,194702010NYK,NBA,1,1947,2/1/1947,36,0,PHW,Warriors,71,1343.9559,1354.579,46.688171,NYK,Knicks,63,1288.7175,1278.0945,A,W,0.43593693,
202,194702030BOS,NBA,0,1947,2/3/1947,39,0,BOS,Celtics,55,1231.4259,1224.339,33.161163,PHW,Warriors,61,1354.579,1361.6659,H,L,0.46672928,
202,194702030BOS,NBA,1,1947,2/3/1947,37,0,PHW,Warriors,61,1354.579,1361.6659,47.415337,BOS,Celtics,55,1231.4259,1224.339,A,W,0.53327072,
204,194702040GSW,NBA,0,1947,2/4/1947,38,0,PHW,Warriors,75,1361.6659,1365.8291,47.840622,PRO,Steamrollers,68,1297.5333,1293.3701,H,W,0.72007287,
208,194702060BOS,NBA,0,1947,2/6/1947,40,0,BOS,Celtics,49,1224.339,1227.3872,33.469673,NYK,Knicks,48,1252.9094,1249.8612,H,W,0.60137117,
210,194702060GSW,NBA,0,1947,2/6/1947,39,0,PHW,Warriors,79,1365.8291,1371.0201,48.368782,TRH,Huskies,61,1228.0629,1222.8718,H,W,0.79716879,
214,194702080PRO,NBA,1,1947,2/8/1947,40,0,PHW,Warriors,58,1371.0201,1361.7233,47.421207,PRO,Steamrollers,67,1283.3506,1292.6475,A,L,0.48226249,
220,194702110GSW,NBA,0,1947,2/11/1947,41,0,PHW,Warriors,75,1361.7233,1371.4485,48.412254,STB,Bombers,59,1370.1735,1360.4482,H,W,0.62878382,
224,194702130BOS,NBA,0,1947,2/13/1947,41,0,BOS,Celtics,64,1227.3872,1239.058,34.658756,STB,Bombers,54,1360.4482,1348.7775,H,W,0.45256445,
226,194702130GSW,NBA,0,1947,2/13/1947,42,0,PHW,Warriors,61,1371.4485,1377.009,48.974979,CLR,Rebels,48,1289.6622,1284.1017,H,W,0.7400918,
230,194702150WSC,NBA,1,1947,2/15/1947,43,0,PHW,Warriors,60,1377.009,1371.8971,48.457764,WSC,Capitols,70,1442.0931,1447.2051,A,L,0.27882439,
231,194702160CHS,NBA,1,1947,2/16/1947,42,0,BOS,Celtics,77,1239.058,1236.5378,34.40099,CHS,Stags,84,1401.0946,1403.6147,A,L,0.18117541,
232,194702160CLR,NBA,1,1947,2/16/1947,44,0,PHW,Warriors,71,1371.8971,1366.0861,47.866825,CLR,Rebels,75,1294.3878,1300.1989,A,L,0.46767837,
236,194702180CLR,NBA,1,1947,2/18/1947,43,0,BOS,Celtics,73,1236.5378,1231.0762,33.844212,CLR,Rebels,84,1300.1989,1305.6605,A,L,0.2804746,
238,194702190DTF,NBA,1,1947,2/19/1947,44,0,BOS,Celtics,57,1231.0762,1242.1201,34.972649,DTF,Falcons,51,1240.0331,1228.9891,A,W,0.34814423,
242,194702200GSW,NBA,0,1947,2/20/1947,45,0,PHW,Warriors,78,1366.0861,1369.3383,48.197926,PIT,Ironmen,66,1191.2151,1187.9629,H,W,0.8295278,
246,194702210TRH,NBA,1,1947,2/21/1947,45,0,BOS,Celtics,61,1242.1201,1236.5012,34.397247,TRH,Huskies,67,1222.2985,1227.9174,A,L,0.38661969,
249,194702230BOS,NBA,0,1947,2/23/1947,46,0,BOS,Celtics,55,1236.5012,1222.6729,32.99292,PRO,Steamrollers,67,1287.0493,1300.8777,H,L,0.57069027,
253,194702230STB,NBA,1,1947,2/23/1947,46,0,PHW,Warriors,66,1369.3383,1364.2163,47.676044,STB,Bombers,71,1349.1321,1354.254,A,L,0.38714474,
